"generation","variant","count","S"
4048,4975,68,"0"
4048,5027,33,"0"
4048,5028,24,"0"
4048,5075,48,"0"
4048,5097,11,"0"
4048,5103,2,"0"
4048,5106,1,"0"
4048,5110,5,"0"
4048,5115,1,"0"
4048,5118,1,"0"
4048,5119,2,"0"
4048,5121,1,"0"
4049,3598,61,"0"
4049,4268,148,"0"
4049,4583,52,"0"
4049,4740,49,"0"
4049,4838,291,"0"
4049,4859,15,"0"
4049,4878,158,"0"
4049,4975,78,"0"
4049,5027,41,"0"
4049,5028,27,"0"
4049,5075,49,"0"
4049,5097,10,"0"
4049,5103,3,"0"
4049,5110,9,"0"
4049,5115,1,"0"
4049,5118,3,"0"
4049,5119,3,"0"
4049,5121,1,"0"
4049,5122,1,"0"
4050,3598,63,"0"
4050,4268,154,"0"
4050,4583,39,"0"
4050,4740,51,"0"
4050,4838,314,"0"
4050,4859,16,"0"
4050,4878,157,"0"
4050,4975,68,"0"
4050,5027,40,"0"
4050,5028,23,"0"
4050,5075,50,"0"
4050,5097,8,"0"
4050,5103,2,"0"
4050,5110,5,"0"
4050,5115,1,"0"
4050,5118,2,"0"
4050,5119,5,"0"
4050,5122,1,"0"
4050,5123,1,"0"
4051,3598,58,"0"
4051,4268,168,"0"
4051,4583,34,"0"
4051,4740,43,"0"
4051,4838,314,"0"
4051,4859,15,"0"
4051,4878,167,"0"
4051,4975,50,"0"
4051,5027,43,"0"
4051,5028,32,"0"
4051,5075,50,"0"
4051,5097,10,"0"
4051,5103,1,"0"
4051,5110,4,"0"
4051,5118,3,"0"
4051,5119,5,"0"
4051,5122,1,"0"
4051,5123,1,"0"
4051,5124,1,"0"
4052,3598,63,"0"
4052,4268,181,"0"
4052,4583,25,"0"
4052,4740,36,"0"
4052,4838,319,"0"
4052,4859,8,"0"
4052,4878,167,"0"
4052,4975,54,"0"
4052,5027,40,"0"
4052,5028,33,"0"
4052,5075,41,"0"
4052,5097,10,"0"
4052,5110,5,"0"
4052,5118,2,"0"
4052,5119,11,"0"
4052,5122,3,"0"
4052,5125,1,"0"
4052,5126,1,"0"
4053,3598,84,"0"
4053,4268,196,"0"
4053,4583,15,"0"
4053,4740,28,"0"
4053,4838,318,"0"
4053,4859,9,"0"
4053,4878,152,"0"
4053,4975,62,"0"
4053,5027,38,"0"
4053,5028,30,"0"
4053,5075,32,"0"
4053,5097,11,"0"
4053,5110,6,"0"
4053,5118,3,"0"
4053,5119,8,"0"
4053,5122,1,"0"
4053,5125,3,"0"
4053,5126,3,"0"
4053,5127,1,"0"
4054,3598,67,"0"
4054,4268,190,"0"
4054,4583,12,"0"
4054,4740,21,"0"
4054,4838,332,"0"
4054,4859,9,"0"
4054,4878,174,"0"
4054,4975,52,"0"
4054,5027,33,"0"
4054,5028,33,"0"
4054,5075,36,"0"
4054,5097,7,"0"
4054,5110,7,"0"
4054,5118,6,"0"
4054,5119,8,"0"
4054,5122,1,"0"
4054,5125,5,"0"
4054,5126,5,"0"
4054,5127,1,"0"
4054,5128,1,"0"
4055,3598,79,"0"
4055,4268,194,"0"
4055,4583,10,"0"
4055,4740,23,"0"
4055,4838,317,"0"
4055,4859,6,"0"
4055,4878,145,"0"
4055,4975,61,"0"
4055,5027,44,"0"
4055,5028,43,"0"
4055,5075,34,"0"
4055,5097,10,"0"
4055,5110,8,"0"
4055,5118,4,"0"
4055,5119,12,"0"
4055,5122,2,"0"
4055,5125,5,"0"
4055,5126,1,"0"
4055,5127,1,"0"
4055,5128,1,"0"
4056,3598,85,"0"
4056,4268,208,"0"
4056,4583,7,"0"
4056,4740,22,"0"
4056,4838,313,"0"
4056,4859,5,"0"
4056,4878,155,"0"
4056,4975,56,"0"
4056,5027,40,"0"
4056,5028,52,"0"
4056,5075,27,"0"
4056,5097,8,"0"
4056,5110,5,"0"
4056,5118,6,"0"
4056,5119,5,"0"
4056,5125,2,"0"
4056,5126,2,"0"
4056,5128,1,"0"
4056,5129,1,"0"
4057,3598,66,"0"
4057,4268,202,"0"
4057,4583,7,"0"
4057,4740,21,"0"
4057,4838,301,"0"
4057,4859,4,"0"
4057,4878,159,"0"
4057,4975,63,"0"
4057,5027,54,"0"
4057,5028,59,"0"
4057,5075,36,"0"
4057,5097,3,"0"
4057,5110,5,"0"
4057,5118,6,"0"
4057,5119,4,"0"
4057,5125,2,"0"
4057,5126,5,"0"
4057,5128,2,"0"
4057,5130,1,"0"
4058,3598,64,"0"
4058,4268,183,"0"
4058,4583,6,"0"
4058,4740,14,"0"
4058,4838,313,"0"
4058,4878,162,"0"
4058,4975,60,"0"
4058,5027,69,"0"
4058,5028,51,"0"
4058,5075,44,"0"
4058,5097,3,"0"
4058,5110,9,"0"
4058,5118,8,"0"
4058,5119,1,"0"
4058,5125,3,"0"
4058,5126,6,"0"
4058,5128,2,"0"
4058,5130,2,"0"
4059,3598,59,"0"
4059,4268,190,"0"
4059,4583,10,"0"
4059,4740,12,"0"
4059,4838,318,"0"
4059,4878,157,"0"
4059,4975,65,"0"
4059,5027,56,"0"
4059,5028,55,"0"
4059,5075,40,"0"
4059,5097,4,"0"
4059,5110,12,"0"
4059,5118,10,"0"
4059,5119,1,"0"
4059,5125,3,"0"
4059,5126,5,"0"
4059,5128,2,"0"
4059,5131,1,"0"
4060,3598,61,"0"
4060,4268,207,"0"
4060,4583,7,"0"
4060,4740,17,"0"
4060,4838,287,"0"
4060,4878,157,"0"
4060,4975,64,"0"
4060,5027,53,"0"
4060,5028,62,"0"
4060,5075,43,"0"
4060,5097,4,"0"
4060,5110,10,"0"
4060,5118,16,"0"
4060,5125,1,"0"
4060,5126,5,"0"
4060,5128,1,"0"
4060,5131,4,"0"
4060,5132,1,"0"
4061,3598,69,"0"
4061,4268,188,"0"
4061,4583,2,"0"
4061,4740,15,"0"
4061,4838,312,"0"
4061,4878,146,"0"
4061,4975,64,"0"
4061,5027,53,"0"
4061,5028,61,"0"
4061,5075,45,"0"
4061,5097,4,"0"
4061,5110,12,"0"
4061,5118,14,"0"
4061,5125,1,"0"
4061,5126,2,"0"
4061,5128,1,"0"
4061,5131,9,"0"
4061,5132,1,"0"
4061,5133,1,"0"
4062,3598,71,"0"
4062,4268,171,"0"
4062,4583,2,"0"
4062,4740,12,"0"
4062,4838,338,"0"
4062,4878,138,"0"
4062,4975,66,"0"
4062,5027,62,"0"
4062,5028,54,"0"
4062,5075,39,"0"
4062,5097,6,"0"
4062,5110,9,"0"
4062,5118,10,"0"
4062,5125,2,"0"
4062,5126,2,"0"
4062,5128,2,"0"
4062,5131,11,"0"
4062,5132,2,"0"
4062,5133,2,"0"
4062,5134,1,"0"
4063,3598,74,"0"
4063,4268,174,"0"
4063,4583,5,"0"
4063,4740,11,"0"
4063,4838,318,"0"
4063,4878,140,"0"
4063,4975,68,"0"
4063,5027,68,"0"
4063,5028,47,"0"
4063,5075,33,"0"
4063,5097,10,"0"
4063,5110,12,"0"
4063,5118,12,"0"
4063,5125,2,"0"
4063,5126,4,"0"
4063,5128,4,"0"
4063,5131,11,"0"
4063,5132,4,"0"
4063,5133,1,"0"
4063,5135,1,"0"
4063,5136,1,"0"
4064,3598,76,"0"
4064,4268,178,"0"
4064,4583,5,"0"
4064,4740,9,"0"
4064,4838,313,"0"
4064,4878,141,"0"
4064,4975,58,"0"
4064,5027,68,"0"
4064,5028,51,"0"
4064,5075,27,"0"
4064,5097,6,"0"
4064,5110,18,"0"
4064,5118,15,"0"
