,added,killed
1569,840,950
1570,194,162
1571,806,492
1572,942,417
1573,160,887
1574,804,350
1575,72,899
1576,971,71
1577,356,555
1578,919,30
1579,640,458
1580,474,956
1581,286,919
1582,162,551
1583,157,950
1584,677,160
1585,476,654
1586,627,559
1587,698,440
1588,542,551
1589,301,270
1590,458,709
1591,50,995
1592,693,977
1593,785,956
1594,859,903
1595,194,193
1596,55,888
1597,848,751
1598,652,621
1599,304,297
1600,372,295
1601,271,71
1602,653,615
1603,93,303
1604,269,375
1605,658,676
1606,546,160
1607,190,657
1608,81,125
1609,308,289
1610,266,119
1611,375,684
1612,825,678
1613,152,885
1614,286,519
1615,387,684
1616,282,375
1617,515,515
1618,765,307
1619,494,71
1620,515,657
1621,342,286
1622,251,205
1623,555,546
1624,133,901
1625,834,144
1626,546,217
1627,319,621
1628,961,244
1629,183,709
1630,654,4
1631,764,398
1632,62,492
1633,367,130
1634,534,274
1635,949,437
1636,834,889
1637,551,585
1638,297,716
1639,850,751
1640,386,653
1641,642,977
1642,877,160
1643,95,942
1644,431,116
1645,991,551
1646,771,474
1647,833,578
1648,402,10
1649,491,12
1650,318,324
1651,308,445
1652,799,140
1653,649,472
1654,183,238
1655,392,941
1656,204,136
1657,350,534
1658,899,458
1659,848,429
1660,799,499
1661,38,594
1662,762,916
1663,162,716
1664,751,948
1665,663,119
1666,906,808
1667,997,54
1668,798,469
1669,334,302
1670,358,845
1671,546,634
1672,906,71
1673,350,184
1674,534,54
1675,141,416
1676,474,517
1677,714,954
1678,76,753
1679,653,398
1680,657,663
1681,311,643
1682,551,653
1683,474,293
1684,904,647
1685,387,162
1686,767,68
1687,184,184
1688,882,318
1689,172,205
1690,653,286
1691,652,653
1692,1,950
1693,183,69
1694,474,375
1695,141,587
1696,523,71
1697,134,998
1698,654,141
1699,677,389
1700,499,917
1701,18,495
1702,701,714
1703,154,971
1704,551,154
1705,185,660
1706,825,515
1707,677,840
1708,942,424
1709,519,803
1710,684,627
1711,97,492
1712,653,849
1713,549,10
1714,71,172
1715,176,499
1716,855,899
1717,717,506
1718,184,624
1719,60,804
1720,585,217
1721,303,324
1722,397,141
1723,657,658
1724,932,925
1725,904,97
1726,995,30
1727,386,950
1728,558,843
1729,350,861
1730,399,64
1731,427,460
1732,917,37
1733,515,125
1734,70,812
1735,708,983
1736,526,723
1737,512,120
1738,956,982
1739,574,728
1740,1,716
1741,851,710
1742,999,677
1743,204,144
1744,652,204
1745,641,627
1746,468,140
1747,485,302
1748,554,407
1749,431,396
1750,157,724
1751,723,421
1752,319,284
1753,534,461
1754,841,738
1755,732,619
1756,658,103
1757,797,902
1758,884,398
1759,474,911
1760,69,512
1761,95,800
1762,155,567
1763,842,252
1764,934,934
1765,546,260
1766,959,585
1767,833,941
1768,934,350
1769,318,652
1770,663,357
1771,54,557
1772,551,863
1773,546,386
1774,102,947
1775,92,911
1776,646,716
1777,939,431
1778,886,908
1779,909,833
1780,408,37
1781,55,812
1782,458,863
1783,18,458
1784,891,144
1785,76,136
1786,429,684
1787,519,178
1788,356,414
1789,151,889
1790,753,495
1791,717,386
1792,991,578
1793,993,286
1794,71,708
1795,332,193
1796,654,995
1797,593,375
1798,12,358
1799,840,275
1800,208,113
1801,286,398
1802,899,206
1803,554,295
1804,104,723
1805,12,1
1806,429,396
1807,985,375
1808,641,299
1809,800,534
1810,867,657
1811,677,807
1812,484,499
1813,925,901
1814,414,104
1815,160,183
1816,976,785
1817,841,708
1818,515,717
1819,945,162
1820,764,194
1821,386,81
1822,593,125
1823,665,942
1824,116,988
1825,677,899
1826,140,652
1827,375,429
1828,1,451
1829,900,851
1830,854,902
1831,332,104
1832,125,458
1833,641,658
1834,162,204
1835,841,956
1836,378,515
1837,84,675
1838,764,515
1839,506,576
1840,233,205
1841,594,641
1842,881,723
1843,917,993
1844,418,676
1845,39,234
1846,534,855
1847,575,997
1848,233,579
1849,993,863
1850,509,301
1851,900,641
1852,490,938
1853,972,519
1854,402,173
1855,923,494
1856,178,37
1857,387,732
1858,751,12
1859,612,618
1860,887,417
1861,659,578
1862,172,10
1863,849,883
1864,753,942
1865,1,988
1866,160,665
1867,612,474
1868,12,909
1869,934,318
1870,817,886
1871,182,499
1872,970,492
1873,366,162
1874,236,173
1875,797,993
1876,296,414
1877,362,734
1878,379,999
1879,840,95
1880,160,515
1881,152,793
1882,95,375
1883,961,654
1884,429,995
1885,552,64
1886,104,551
1887,783,954
1888,440,132
1889,549,468
1890,217,615
1891,840,590
1892,1000,961
1893,654,519
1894,89,18
1895,515,988
1896,48,970
1897,302,408
1898,576,841
1899,885,627
1900,942,934
1901,270,386
1902,201,961
1903,284,1000
1904,329,551
1905,158,961
1906,77,407
1907,724,42
1908,103,270
1909,358,509
1910,296,657
1911,137,659
1912,558,474
1913,36,236
1914,131,881
1915,706,275
1916,677,432
1917,367,155
1918,325,882
1919,260,76
1920,981,271
1921,95,902
1922,989,251
1923,36,296
1924,792,324
1925,732,71
1926,612,429
1927,491,693
1928,652,392
1929,950,296
1930,519,183
1931,318,575
1932,761,542
1933,701,902
1934,988,893
1935,418,546
1936,386,495
1937,993,150
1938,859,12
1939,546,329
1940,304,646
1941,386,716
1942,268,204
1943,621,318
1944,849,60
1945,398,812
1946,387,728
1947,585,194
1948,674,797
1949,204,893
1950,474,55
1951,716,157
1952,302,387
1953,326,551
1954,576,667
1955,882,430
1956,798,205
1957,435,1
1958,12,945
1959,555,732
1960,71,42
1961,653,396
1962,95,499
1963,211,290
1964,785,642
1965,284,585
1966,899,130
1967,414,654
1968,71,850
1969,481,652
1970,214,152
1971,761,152
1972,714,707
1973,113,889
1974,585,399
1975,48,375
1976,709,576
1977,128,999
1978,976,908
1979,620,673
1980,72,917
1981,36,445
1982,806,723
1983,435,490
1984,764,116
1985,657,652
1986,93,534
1987,657,889
1988,942,1
1989,95,692
1990,429,803
1991,308,459
1992,284,849
1993,427,297
1994,133,160
1995,289,151
1996,833,534
1997,904,714
1998,666,1
1999,649,993
2000,445,638
2001,826,233
2002,161,417
2003,14,137
2004,568,398
2005,71,160
2006,704,318
2007,667,217
2008,417,948
2009,318,567
2010,803,95
2011,138,534
2012,141,158
2013,754,708
2014,764,909
2015,999,319
2016,506,494
2017,233,999
2018,793,451
2019,861,546
2020,709,519
2021,121,304
2022,176,657
2023,723,724
2024,314,429
2025,407,128
2026,893,319
2027,889,889
2028,293,260
2029,154,190
2030,293,418
2031,723,178
2032,693,652
2033,901,654
2034,885,716
2035,110,270
2036,334,151
2037,654,825
2038,228,299
2039,286,574
2040,356,723
2041,418,785
2042,861,677
2043,934,707
2044,483,719
2045,867,121
2046,204,950
2047,350,427
2048,431,654
2049,342,297
2050,445,657
2051,211,883
2052,185,861
2053,350,431
2054,269,677
2055,863,302
2056,445,162
2057,242,585
2058,745,658
2059,541,797
2060,976,549
2061,213,234
2062,636,657
2063,551,318
2064,301,93
2065,649,27
2066,693,677
2067,204,578
2068,158,825
2069,1,630
2070,206,519
2071,329,286
2072,301,877
2073,833,798
2074,951,386
2075,504,160
2076,137,89
2077,653,716
2078,334,12
2079,410,995
2080,190,27
2081,284,881
2082,613,678
2083,867,976
2084,653,889
2085,162,30
2086,253,593
2087,723,797
2088,909,213
2089,796,469
2090,887,162
2091,716,841
2092,825,948
2093,286,75
2094,788,75
2095,122,387
2096,36,653
2097,432,93
2098,764,885
2099,204,519
2100,342,555
2101,301,435
2102,895,723
2103,723,183
2104,490,372
2105,55,855
2106,895,417
2107,20,932
2108,429,491
2109,884,292
2110,917,612
2111,110,226
2112,971,289
2113,307,304
2114,751,558
2115,157,785
2116,71,812
2117,783,267
2118,155,275
2119,591,274
2120,397,988
2121,223,299
2122,485,334
2123,122,881
2124,378,764
2125,526,562
2126,184,593
2127,151,247
2128,37,358
2129,314,546
2130,578,402
2131,988,386
2132,297,983
2133,89,657
2134,851,941
