,added,killed
1945,267,864
1946,777,9
1947,548,305
1948,780,254
1949,459,35
1950,229,955
1951,815,459
1952,999,344
1953,731,303
1954,803,581
1955,334,706
1956,334,941
1957,864,402
1958,398,229
1959,201,443
1960,22,458
1961,547,795
1962,507,40
1963,537,845
1964,155,623
1965,133,657
1966,913,458
1967,960,576
1968,255,723
1969,243,114
1970,732,514
1971,751,134
1972,662,134
1973,818,864
1974,379,116
1975,342,394
1976,914,848
1977,446,364
1978,777,933
1979,229,201
1980,210,550
1981,882,22
1982,952,81
1983,22,176
1984,176,129
1985,89,380
1986,803,700
1987,543,22
1988,201,80
1989,304,563
1990,461,708
1991,11,952
1992,90,732
1993,379,579
1994,624,624
1995,723,243
1996,814,421
1997,507,543
1998,380,864
1999,780,176
2000,11,201
2001,243,462
2002,499,35
2003,206,956
2004,461,499
2005,229,313
2006,201,731
2007,921,780
2008,499,485
2009,255,499
2010,913,913
2011,795,578
2012,848,726
2013,380,304
2014,366,380
2015,120,864
2016,944,990
2017,22,981
2018,995,22
2019,200,486
2020,578,229
2021,400,311
2022,155,40
2023,105,563
2024,113,405
2025,521,176
2026,558,731
2027,106,548
2028,366,240
2029,731,547
2030,706,255
2031,303,305
2032,404,161
2033,249,62
2034,999,227
2035,227,304
2036,671,913
2037,114,187
2038,326,308
2039,751,514
2040,155,345
2041,176,134
2042,777,461
2043,563,657
2044,731,4
2045,751,657
2046,563,311
2047,795,161
2048,359,814
2049,458,558
2050,521,700
2051,362,161
2052,980,836
2053,458,103
2054,870,106
2055,459,740
2056,543,255
2057,176,670
2058,723,161
2059,485,330
2060,296,394
2061,840,380
2062,379,398
2063,390,952
2064,454,334
2065,379,956
2066,254,840
2067,625,296
2068,295,313
2069,995,313
2070,349,780
2071,314,458
2072,815,379
2073,782,499
2074,753,303
2075,538,706
2076,90,723
2077,944,201
2078,952,14
2079,774,662
2080,682,751
2081,206,120
2082,462,92
2083,74,254
2084,423,210
2085,72,446
2086,944,313
2087,314,188
2088,227,394
2089,22,647
2090,845,585
2091,304,379
2092,176,458
2093,251,243
2094,394,326
2095,404,864
2096,244,542
2097,485,700
2098,723,461
2099,181,155
2100,298,364
2101,181,933
2102,751,558
2103,366,22
2104,777,550
2105,880,72
2106,380,774
2107,457,267
2108,913,334
2109,845,840
2110,992,227
2111,795,417
2112,227,459
2113,194,404
2114,815,913
2115,845,460
2116,200,314
2117,164,366
2118,155,208
2119,782,563
2120,201,201
2121,563,227
2122,944,831
2123,543,777
2124,161,4
2125,404,404
2126,784,154
2127,992,558
2128,4,907
2129,201,944
2130,591,229
2131,786,334
2132,311,980
2133,534,845
2134,517,952
